Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,64.638,64.962,66.661,68.608,70.631,72.626,74.274,75.771,75.957,76.466,76.784,76.117,73.752,73.396,73.031,72.536,71.527,70.728,70.333,69.963,70.928,71.979,72.151,72.502,73.516,72.81,71.39,70.424,69.307,68.268,66.54,64,63.078,60.281,62.62,64.877,64.07,66.424,66.149,66.695,67.064,68.264,68.719,69.167,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065,..
Argentina,ARG,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4900,5700,6100,6300,6300,6100,6000,5900,5700,5400,5200,5300,5200,5200,5200,5300,5300,5400,5400,5400,5400,5400,5400,5300,5300,5300,5300,5200,5200,5100,4900,4700,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,9.6375609641048,10.8658823843399,10.984869871837,11.9525224881086,10.2308377488651,6.5839104917193,8.15217071197931,8.0871421139688,7.5044274778029,7.79627735939132,6.35350500487903,6.47552296063439,9.59615604621897,8.65832496118367,8.3459768371011,7.63430725730443,7.80040264019792,8.09435846444628,8.97786821775225,9.61606509643166,8.12367620787488,6.71649176009431,5.99078709147934,5.13682648211779,5.08266800031075,5.351464616273,5.61086611323361,5.22197210944516,5.25272256987622,4.45782610229152,4.67991094417297,4.56858960891786,10.2066467144411,10.328166939117,8.36248661002826,7.93875427420938,6.93557229126392,7.45235394606923,7.3189545972436,5.2736234689014,7.13216745078964,6.99873377022519,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.23162237725058,4.53787889681146,5.3185559967348,6.12846695022316,7.13154104672929,6.44416917103214
Argentina,ARG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,47.9000015259,57.4000015259,79.6999969482,85.9000015259,98.1999969482,74.5999984741,96.3000030518,119.8000030518,120.5,136.8000030518,195.3999938965,195.5,170.6999969482,174.3000030518,179.8000030518,187.1000061035,192,197.5,193.6000061035,201.1999969482,213.6000061035,201.8999938965,206.6999969482,232,206.1999969482,177,176.6000061035,220.3000030518,251,241,296.646,124.402,76.419,111.811,123.637,132.558,124.583,132.675,131.685,111.663,193.301253837474,192.20126,180.120460072137,268.710767897573,261.60894,243.7725665,254.181413504,305.102,311.720805,280.283172,81.12423,88.267613,..
Argentina,ARG,"Air transport, passengers carried",IS.AIR.PSGR,2332000,2218600,2358500,2312700,2943500,3299200,3293600,3884100,3946700,5023500,5588500,4890100,4595900,4399600,5163600,4713200,5034700,5405800,5068800,4748400,5369100,4545900,5251400,5104500,6260700,6641700,7913000,8599800,8446500,9191900,8915627,5808770,5662905,6036360,6795484,6938436,6611915,7036784,6147290,5694547,9025035.31187357,8590839.84977289,9375669.73963746,11951276.8223926,12121912.818,14245183,15076354,16749271,18084553,19461377,3680874,6708097,..
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1144834,663811,554800,1025055,1251895,1490372,1757990,1874259,1997146,1626835.3556,2005965,2181846,1970243,2176939,1738744,1734397,1713267,1809153,2184625,1833964,1705390,1791816,..
Argentina,ARG,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14
Argentina,ARG,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.101317152380943,..,-0.20348159968853,..,-0.172407656908035,..,-0.417055726051331,-0.479976803064346,-0.414409548044205,-0.377738356590271,-0.33123853802681,-0.372122079133987,-0.434875011444092,-0.445475101470947,-0.355230033397675,-0.364098519086838,-0.445909202098846,-0.434015780687332,-0.549443066120148,-0.580868721008301,-0.298964887857437,-0.308798342943192,-0.098668172955513,-0.106940247118473,-0.16378065943718,-0.422272920608521,-0.447030484676361
Argentina,ARG,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,1.27224225636723,1.98305770943701,2.08423514758595,-0.740769310961666,-6.20306739740758,-5.98905581142535,-2.7909739553226,-2.3427783479647,-2.13402804432395,-1.0799663864279,-2.7004212047155,-3.89207383826997,-1.2388660162792,-1.70299441367605,3.2203150343045,-0.341028912950146,-2.42494053087482,-3.46617829462143,-4.26485898465452,-1.9834602735093,-2.4875930110115,-4.14468006629108,-4.8443160454196,-4.21229506178187,-3.15992237703676,-1.40694788500181,8.97078467784247,6.37990680177011,1.95058324319273,2.65363142179073,2.79449564264943,2.1036160391819,1.49940141614234,2.1785669619099,-0.383118699737132,-1.00728073759033,-0.39159512386959,-2.37749566620574,-1.74400211981355,-2.96292666513535,-2.70922169964784,-4.83995919619862,-5.16055251029552,-0.779998442161832,0.697297081706135,1.36373847904907,-0.677990131683463
