"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IDN","Indonesia","TOT","Terms of trade","1993","1993",,,"0","Units",,,115.309079636084,,
"IDN","Indonesia","TOT","Terms of trade","1994","1994",,,"0","Units",,,117.149202564973,,
"IDN","Indonesia","TOT","Terms of trade","1995","1995",,,"0","Units",,,119.766436106771,,
"IDN","Indonesia","TOT","Terms of trade","1996","1996",,,"0","Units",,,122.1152137397,,
"IDN","Indonesia","TOT","Terms of trade","1997","1997",,,"0","Units",,,131.745307499735,,
"IDN","Indonesia","TOT","Terms of trade","1998","1998",,,"0","Units",,,138.90325091846,,
"IDN","Indonesia","TOT","Terms of trade","1999","1999",,,"0","Units",,,127.651262550381,,
"IDN","Indonesia","TOT","Terms of trade","2000","2000",,,"0","Units",,,125.915036700446,,
"IDN","Indonesia","TOT","Terms of trade","2001","2001",,,"0","Units",,,122.93357924272,,
"IDN","Indonesia","TOT","Terms of trade","2002","2002",,,"0","Units",,,116.311317911405,,
"IDN","Indonesia","TOT","Terms of trade","2003","2003",,,"0","Units",,,118.644295748118,,
"IDN","Indonesia","TOT","Terms of trade","2004","2004",,,"0","Units",,,117.534037581959,,
"IDN","Indonesia","TOT","Terms of trade","2005","2005",,,"0","Units",,,115.56134028693,,
"IDN","Indonesia","TOT","Terms of trade","2006","2006",,,"0","Units",,,122.010030979915,,
"IDN","Indonesia","TOT","Terms of trade","2007","2007",,,"0","Units",,,117.327544231386,,
"IDN","Indonesia","TOT","Terms of trade","2008","2008",,,"0","Units",,,105.379576684476,,
"IDN","Indonesia","TOT","Terms of trade","2009","2009",,,"0","Units",,,107.591952420141,,
"IDN","Indonesia","TOT","Terms of trade","2010","2010",,,"0","Units",,,105.650952604081,,
"IDN","Indonesia","TOT","Terms of trade","2011","2011",,,"0","Units",,,107.751957806024,,
"IDN","Indonesia","TOT","Terms of trade","2012","2012",,,"0","Units",,,102.12601494862,,
"IDN","Indonesia","TOT","Terms of trade","2013","2013",,,"0","Units",,,98.2221586256498,,
"IDN","Indonesia","TOT","Terms of trade","2014","2014",,,"0","Units",,,99.3739177889011,,
"IDN","Indonesia","TOT","Terms of trade","2015","2015",,,"0","Units",,,100,,
"IDN","Indonesia","TOT","Terms of trade","2016","2016",,,"0","Units",,,101.469889357741,,
"IDN","Indonesia","TOT","Terms of trade","2017","2017",,,"0","Units",,,101.743700141091,,
"IDN","Indonesia","TOT","Terms of trade","2018","2018",,,"0","Units",,,96.879725014428,,
"IDN","Indonesia","TOT","Terms of trade","2019","2019",,,"0","Units",,,92.7876053842324,,
"IDN","Indonesia","TOT","Terms of trade","2020","2020",,,"0","Units",,,94.7129783116059,,
"IDN","Indonesia","TOT","Terms of trade","2021","2021",,,"0","Units",,,103.105584816664,,
"IDN","Indonesia","TOT","Terms of trade","2022","2022",,,"0","Units",,,104.607547125434,,
